276	36
276	244
16	6
16	127
71	175
71	286
103	194
168	72
168	194
199	6
199	26
64	20
64	121
183	246
183	248
36	240
36	276
247	106
247	179
268	43
268	104
127	16
127	281
285	244
285	246
7	50
7	233
290	66
290	188
92	266
92	299
121	64
121	281
200	26
200	252
196	3
196	194
239	18
239	104
50	7
50	109
50	286
50	295
246	119
246	183
246	189
246	285
179	14
179	228
179	247
233	7
119	246
281	121
281	127
18	37
18	106
18	239
18	270
106	18
106	247
286	50
286	71
188	148
188	290
6	16
6	199
186	114
186	240
116	57
116	270
175	71
175	299
66	47
66	290
248	37
248	183
104	239
104	268
3	14
3	196
57	116
57	148
14	3
14	179
270	18
270	116
99	47
99	109
72	20
72	168
266	92
266	114
240	36
240	186
109	50
109	99
244	276
244	285
256	189
256	194
189	246
189	256
47	66
47	99
295	50
295	211
194	103
194	168
194	196
194	256
20	64
20	72
148	57
148	188
43	202
43	268
26	199
26	200
228	179
211	295
252	200
252	299
299	92
299	175
299	252
114	186
114	266
37	18
37	248
202	43
